instance,capacity,total_demand,num_clientes,heuristic,local_search,cost,num_routes,time,gap,best_known,status,msg
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,grasp,none,328.933,8,3.18734,,,ok,
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,cw,none,514.243,5,0.000694917,-1.9763215029802919,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,cw,swap,514.243,5,0.00160071,-1.9763215029802919,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,cw,relocate,514.243,5,0.00151092,-1.9763215029802919,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,cw,both,514.243,5,0.00241296,-1.9763215029802919,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,ni,none,677.866,5,0.0001605,29.213074068214354,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,ni,swap,655.587,5,0.00110129,24.966308369439453,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,ni,relocate,656.568,5,0.00109383,25.15330406720408,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,ni,both,634.29,5,0.00197004,20.906728985858088,524.611,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E051-05e.dat,160,777,51,grasp,none,606.59,5,1.92877,15.626626204940433,524.611,ok,
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,cw,none,467.917,6,0.000147875,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,cw,swap,467.917,6,0.00071975,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,cw,relocate,467.917,6,0.000734833,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,cw,both,467.917,6,0.00132987,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,ni,none,231.983,6,9.125e-05,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,ni,swap,210.956,6,0.000676875,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,ni,relocate,188.698,6,0.000671417,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,ni,both,198.491,6,0.00132488,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-06m.dat,4000,22500,22,grasp,none,250.054,6,1.25513,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,cw,none,621.087,3,0.000168917,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,cw,swap,621.087,3,0.000260792,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,cw,relocate,621.087,3,0.000249542,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,cw,both,621.087,3,0.000323917,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,ni,none,424.811,3,5.8375e-05,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,ni,swap,416.747,3,0.000174709,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,ni,relocate,414.922,3,0.000172125,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,ni,both,406.858,3,0.000247917,,,ok,
instancias/2l-cvrp-0/E023-05S.DAT,4500,10189,23,grasp,none,387.892,5,0.470895,,,ok,
instancias/2l-cvrp-0/E033-05s.dat,8000,29370,33,cw,none,843.098,4,0.000289333,,,ok,
instancias/2l-cvrp-0/E033-05s.dat,8000,29370,33,cw,swap,843.098,4,0.000549917,,,ok,
instancias/2l-cvrp-0/E033-05s.dat,8000,29370,33,cw,relocate,843.098,4,0.000538291,,,ok,
